id,source,timestamp,model,prompt,response,notes
gen-1,hypotheses_aggregated.jsonl,2025-11-28T11:57:55.283504Z,local-rule,qokedy cheedy,Hypothesis: token 'qokedy' may represent a common noun or determiner. Frequency hint: 2 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""hypotheses_aggregated.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""source\\\\\\\"": \\\\\\\""hypotheses_aggregated.jsonl\\\\\\\"", \\\\\\\""notes\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""source\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""run_hypotheses.jsonl\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""notes\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""{\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""run_id\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""local\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""}\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
gen-2,hypotheses_aggregated.jsonl,2025-11-28T11:57:55.283545Z,local-rule,unclear ixaiin qokedy,Hypothesis: token 'unclear' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""hypotheses_aggregated.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""source\\\\\\\"": \\\\\\\""hypotheses_aggregated.jsonl\\\\\\\"", \\\\\\\""notes\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""source\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""run_hypotheses.jsonl\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""notes\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""{\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""run_id\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""local\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""}\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
gen-3,hypotheses_aggregated.jsonl,2025-11-28T11:57:55.283552Z,local-rule,tokeey zot n,Hypothesis: token 'tokeey' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""hypotheses_aggregated.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""source\\\\\\\"": \\\\\\\""hypotheses_aggregated.jsonl\\\\\\\"", \\\\\\\""notes\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""source\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""run_hypotheses.jsonl\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""notes\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""{\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""run_id\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""local\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""}\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
gen-4,hypotheses_aggregated.jsonl,2025-11-28T11:57:55.283557Z,local-rule,zot zot zot,Hypothesis: token 'zot' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""hypotheses_aggregated.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""source\\\\\\\"": \\\\\\\""hypotheses_aggregated.jsonl\\\\\\\"", \\\\\\\""notes\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""source\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""run_hypotheses.jsonl\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""notes\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""{\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""run_id\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""local\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""}\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
gen-5,hypotheses_aggregated.jsonl,2025-11-28T11:57:55.283563Z,local-rule,end of sample,Hypothesis: token 'end' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""hypotheses_aggregated.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""source\\\\\\\"": \\\\\\\""hypotheses_aggregated.jsonl\\\\\\\"", \\\\\\\""notes\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""source\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""run_hypotheses.jsonl\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""notes\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""{\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""run_id\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""local\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""}\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
gen-6,hypotheses_aggregated.jsonl,2025-11-28T12:02:20.047526Z,local-rule,qokedy cheedy,Hypothesis: token 'qokedy' may represent a common noun or determiner. Frequency hint: 2 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""hypotheses_aggregated.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""source\\\\\\\"": \\\\\\\""run_hypotheses.jsonl\\\\\\\"", \\\\\\\""notes\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""run_id\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""local\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
gen-7,hypotheses_aggregated.jsonl,2025-11-28T12:02:20.047569Z,local-rule,unclear ixaiin qokedy,Hypothesis: token 'unclear' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""hypotheses_aggregated.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""source\\\\\\\"": \\\\\\\""run_hypotheses.jsonl\\\\\\\"", \\\\\\\""notes\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""run_id\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""local\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
gen-8,hypotheses_aggregated.jsonl,2025-11-28T12:02:20.047576Z,local-rule,tokeey zot n,Hypothesis: token 'tokeey' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""hypotheses_aggregated.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""source\\\\\\\"": \\\\\\\""run_hypotheses.jsonl\\\\\\\"", \\\\\\\""notes\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""run_id\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""local\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
gen-9,hypotheses_aggregated.jsonl,2025-11-28T12:02:20.047581Z,local-rule,zot zot zot,Hypothesis: token 'zot' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""hypotheses_aggregated.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""source\\\\\\\"": \\\\\\\""run_hypotheses.jsonl\\\\\\\"", \\\\\\\""notes\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""run_id\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""local\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
gen-10,hypotheses_aggregated.jsonl,2025-11-28T12:02:20.047586Z,local-rule,end of sample,Hypothesis: token 'end' may represent a common noun or determiner. Frequency hint: 3 tokens.,"{""source"": ""hypotheses_aggregated.jsonl"", ""notes"": ""{\""source\"": \""hypotheses_aggregated.jsonl\"", \""notes\"": \""{\\\""source\\\"": \\\""hypotheses_aggregated.jsonl\\\"", \\\""notes\\\"": \\\""{\\\\\\\""source\\\\\\\"": \\\\\\\""run_hypotheses.jsonl\\\\\\\"", \\\\\\\""notes\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""run_id\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""local\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
